CONGRESSIONALDISTRICT,FirstName,LastName,Residence,PoliticalParty,PoliticalPartyNumAssignment,IncumbentSince,CPVI
1,Lee,Zeldin,Shirley,Republican,0,3-Jan-15,R+6
2,Andrew,Garbarino,Sayville,Republican,0,3-Jan-21,R+5
3,Thomas,Suozzi,Glen Cove,Democratic,1,3-Jan-17,D+3
4,Kathleen,Rice,Garden City,Democratic,1,3-Jan-15,D+4
5,Gregory,Meeks,Queens,Democratic,1,3-Feb-98,D+43
6,Grace,Meng,Queens,Democratic,1,3-Jan-13,D+13
7,Nydia,Velázquez,Brooklyn,Democratic,1,3-Jan-93,D+34
8,Hakeem,Jeffries,Brooklyn,Democratic,1,3-Jan-13,D+33
9,Yvette,Clarke,Brooklyn,Democratic,1,3-Jan-07,D+32
10,Jerry,Nadler,Manhattan,Democratic,1,3-Nov-92,D+27
11,Nicole,Malliotakis,Staten Island,Republican,0,3-Jan-21,R+7
12,Carolyn,Maloney,Manhattan,Democratic,1,3-Jan-93,D+34
13,Adriano,Espaillat,Manhattan,Democratic,1,3-Jan-17,D+40
14,Alexandria,Ocasio-Cortez,Bronx,Democratic,1,3-Jan-19,D+25
15,Ritchie,Torres,Bronx,Democratic,1,3-Jan-21,D+39
16,Jamaal,Bowman,Yonkers,Democratic,1,3-Jan-21,D+25
17,Mondarie,Jones,White Plains,Democratic,1,3-Jan-21,D+9
18,Sean,Maloney,Cold Springs,Democratic,1,3-Jan-13,R+1
19,Pat,Ryan,Gardiner,Democratic,1,13-Sep-22,R+3
20,Paul,Tonko,Amsterdam,Democratic,1,3-Jan-09,D+7
21,Elise,Stefanik,Schuylerviller,Republican,0,3-Jan-15,R+8
22,Claudia,Tenney,New Hartford,Republican,0,11-Feb-21,R+9
23,Joe,Sempolinski,Canisteo,Republican,0,13-Sep-22,R+9
24,John,Katko,Syracuse,Republican,0,3-Jan-15,D+2
25,Joseph,Morelle,Irondequoit,Democratic,1,13-Nov-18,D+8
26,Brian,Higgins,Buffalo,Democratic,1,3-Jan-05,D+10
27,Chris,Jacobs,Orchard Park,Republican,0,21-Jul-20,R+12
